"date","nhs_region","variant","cases"
"2020-02-02","North West","Unclassified",0
"2020-02-03","East of England","Unclassified",0
"2020-02-03","London","Unclassified",0
"2020-02-03","North East and Yorkshire","Unclassified",0
"2020-02-03","South East","Unclassified",0
"2020-02-03","South West","Unclassified",0
"2020-02-05","South East","Unclassified",0
"2020-02-08","South East","Unclassified",0
"2020-02-09","South East","Unclassified",0
"2020-02-11","London","Unclassified",0
"2020-02-12","Midlands","Unclassified",0
"2020-02-21","London","VUI-22JAN-01",0
"2020-02-23","London","Unclassified",0
"2020-02-24","London","Unclassified",0
"2020-02-24","South East","Unclassified",0
"2020-02-25","Midlands","Unclassified",0
"2020-02-27","South East","Unclassified",0
"2020-02-28","East of England","Unclassified",0
"2020-02-28","Midlands","Unclassified",0
"2020-02-28","North East and Yorkshire","Unclassified",0
"2020-02-28","North West","Unclassified",0
"2020-02-28","South East","Unclassified",0
"2020-02-29","London","Unclassified",0
"2020-02-29","Midlands","Unclassified",0
"2020-03-01","East of England","Unclassified",0
"2020-03-01","London","Unclassified",0
"2020-03-01","Midlands","Unclassified",0
"2020-03-01","North East and Yorkshire","Unclassified",0
"2020-03-01","North West","Unclassified",0
"2020-03-01","South West","Unclassified",0
"2020-03-02","London","Unclassified",0
"2020-03-02","Midlands","Unclassified",0
"2020-03-02","North East and Yorkshire","Unclassified",0
"2020-03-02","North West","Unclassified",0
"2020-03-02","South East","Unclassified",0
"2020-03-02","South West","Unclassified",0
"2020-03-03","East of England","Unclassified",0
"2020-03-03","London","Unclassified",0
"2020-03-03","Midlands","Unclassified",0
"2020-03-03","North East and Yorkshire","Unclassified",0
"2020-03-03","North West","Unclassified",0
"2020-03-03","South East","Unclassified",0
"2020-03-03","South West","Unclassified",0
"2020-03-04","East of England","Unclassified",0
"2020-03-04","London","Unclassified",0
"2020-03-04","Midlands","Unclassified",0
"2020-03-04","North East and Yorkshire","Unclassified",0
"2020-03-04","North West","Unclassified",0
"2020-03-04","South East","Unclassified",0
"2020-03-04","South West","Unclassified",0
"2020-03-05","London","Unclassified",0
"2020-03-05","Midlands","Unclassified",0
"2020-03-05","North East and Yorkshire","Unclassified",0
"2020-03-05","North West","Unclassified",0
"2020-03-05","South East","Unclassified",0
"2020-03-05","South West","Unclassified",0
"2020-03-06","East of England","Unclassified",0
"2020-03-06","London","Unclassified",0
"2020-03-06","Midlands","Unclassified",0
"2020-03-06","North East and Yorkshire","Unclassified",0
"2020-03-06","North West","Unclassified",0
"2020-03-06","South East","Unclassified",0
"2020-03-06","South West","Unclassified",0
"2020-03-07","East of England","Unclassified",0
"2020-03-07","London","Unclassified",0
"2020-03-07","Midlands","Unclassified",0
"2020-03-07","North East and Yorkshire","Unclassified",0
"2020-03-07","North West","Unclassified",0
"2020-03-07","South East","Unclassified",0
"2020-03-07","South West","Unclassified",0
"2020-03-08","East of England","Unclassified",0
"2020-03-08","London","Unclassified",0
"2020-03-08","Midlands","Unclassified",0
"2020-03-08","North West","Unclassified",0
"2020-03-08","South East","Unclassified",0
"2020-03-08","South West","Unclassified",0
"2020-03-09","East of England","Unclassified",0
"2020-03-09","London","Unclassified",0
"2020-03-09","Midlands","Unclassified",0
"2020-03-09","North East and Yorkshire","Unclassified",0
"2020-03-09","North West","Unclassified",0
"2020-03-09","South East","Unclassified",0
"2020-03-09","South West","Unclassified",0
"2020-03-10","East of England","Unclassified",0
"2020-03-10","London","Unclassified",0
"2020-03-10","Midlands","Unclassified",0
"2020-03-10","North East and Yorkshire","Unclassified",0
"2020-03-10","North West","Unclassified",0
"2020-03-10","South East","Unclassified",0
"2020-03-10","South West","Unclassified",0
"2020-03-11","East of England","Unclassified",0
"2020-03-11","London","Unclassified",0
"2020-03-11","Midlands","Unclassified",0
"2020-03-11","North East and Yorkshire","Unclassified",0
"2020-03-11","North West","Unclassified",0
"2020-03-11","South East","Unclassified",0
"2020-03-11","South West","Unclassified",0
"2020-03-12","East of England","Unclassified",0
"2020-03-12","London","Unclassified",0
"2020-03-12","Midlands","Unclassified",0
"2020-03-12","Midlands","Undetermined",0
"2020-03-12","North East and Yorkshire","Unclassified",0
"2020-03-12","North West","Unclassified",0
"2020-03-12","South East","Unclassified",0
"2020-03-12","South West","Unclassified",0
"2020-03-13","East of England","Unclassified",0
"2020-03-13","London","Unclassified",0
"2020-03-13","Midlands","Unclassified",0
"2020-03-13","North East and Yorkshire","Unclassified",0
"2020-03-13","North West","Unclassified",0
"2020-03-13","South East","Unclassified",0
"2020-03-13","South West","Unclassified",0
"2020-03-14","East of England","Unclassified",0
"2020-03-14","London","Unclassified",0
"2020-03-14","Midlands","Unclassified",0
"2020-03-14","North East and Yorkshire","Unclassified",0
"2020-03-14","North West","Unclassified",0
"2020-03-14","South East","Unclassified",0
"2020-03-14","South West","Unclassified",0
"2020-03-15","East of England","Unclassified",0
"2020-03-15","London","Unclassified",0
"2020-03-15","Midlands","Unclassified",0
"2020-03-15","North East and Yorkshire","Unclassified",0
"2020-03-15","North West","Unclassified",0
"2020-03-15","South East","Unclassified",0
"2020-03-15","South West","Unclassified",0
"2020-03-16","East of England","Unclassified",0
"2020-03-16","London","Unclassified",0
"2020-03-16","Midlands","Unclassified",0
"2020-03-16","North East and Yorkshire","Unclassified",0
"2020-03-16","North West","Unclassified",0
"2020-03-16","South East","Unclassified",0
"2020-03-16","South West","Unclassified",0
"2020-03-17","East of England","Unclassified",0
"2020-03-17","London","Unclassified",0
"2020-03-17","Midlands","Unclassified",0
"2020-03-17","North East and Yorkshire","Unclassified",0
"2020-03-17","North East and Yorkshire","Undetermined",0
"2020-03-17","North West","Unclassified",0
"2020-03-17","South East","Unclassified",0
"2020-03-17","South West","Unclassified",0
"2020-03-18","East of England","Unclassified",0
"2020-03-18","London","Unclassified",0
"2020-03-18","Midlands","Unclassified",0
"2020-03-18","North East and Yorkshire","Unclassified",0
"2020-03-18","North West","Unclassified",0
"2020-03-18","North West","Undetermined",0
"2020-03-18","South East","Unclassified",0
"2020-03-18","South West","Unclassified",0
"2020-03-19","East of England","Unclassified",0
